aircraft_id,model,manufacturer,capacity,acquisition_date,current_status
AC001,Embraer E190,Embraer,100,2016-10-24,Active
AC002,Boeing 787-9,Boeing,290,2016-07-21,Active
AC003,Airbus A320,Airbus,180,2016-05-08,Active
AC004,Airbus A350,Airbus,300,2016-11-02,Active
AC005,Airbus A350,Airbus,300,2016-05-21,Active
AC006,Embraer E190,Embraer,100,2016-06-07,Active
AC007,Airbus A350,Airbus,300,2016-09-28,Active
AC008,Airbus A350,Airbus,300,2016-05-16,Active
AC009,Airbus A350,Airbus,300,2016-07-21,Active
AC010,Boeing 737-800,Boeing,189,2016-10-25,Active
AC011,Airbus A350,Airbus,300,2016-04-14,Active
AC012,Boeing 787-9,Boeing,290,2016-09-03,Active
AC013,Boeing 737-800,Boeing,189,2016-07-15,Active
AC014,Airbus A320,Airbus,180,2016-10-09,Active
AC015,Airbus A320,Airbus,180,2016-07-07,Active
AC016,Embraer E190,Embraer,100,2016-12-26,Active
AC017,Airbus A350,Airbus,300,2016-12-01,Active
AC018,Airbus A350,Airbus,300,2016-08-10,Active
AC019,Airbus A350,Airbus,300,2016-12-18,Active
